FID,BOVENGRONDS__ONDERGRONDS,NAAM,ORGANISATIE_TYPE,PLAATS,SYSTEEMADRES,LATITUDE,LONGITUDE,AANTAL
BIN_Bedrijf,BG,Zwembad Hoogland,Privaat bedrijf,AMERSFOORT,"Sportlaan 15, 3828 Hoogland",,,
BIN_Bedrijf,BG,Pon dealer Hoogland,Privaat bedrijf,AMERSFOORT,"Zevenhuizerstraat 44, 3828 BE Hoogland",,,
BIN_Bedrijf,BG,Basisschool de Horizon,School,AMERSFOORT,"Sportlaan 14, 3828 Hoogland",,,
BIN_Bedrijf,BG,Tennisclub Hoogland,Vereniging,AMERSFOORT,"Sportlaan 32, 3828 AZ Hoogland",,,
BIN_Bedrijf,BG,Voetbalvereniging Hoogland,Vereniging,AMERSFOORT,"Sportlaan 30, 3828 AZ Hoogland",,,
BIN_Bedrijf,BG,Formido Hoogland,Privaat bedrijf,AMERSFOORT,"Hamseweg 2A, 3828 AD Hoogland",,,
BIN_Bedrijf,BG,Actioncenter Hoogland,Privaat bedrijf,AMERSFOORT,"Hamseweg 2H, 3828 AD Hoogland",,,
BIN_Bedrijf,BG,Trendhopper Hoogland,Privaat bedrijf,AMERSFOORT,"Hamseweg 16, 3828 AD Hoogland",,,
BIN_Bedrijf,BG,Aldi,Privaat bedrijf,AMERSFOORT,"Hamseweg 17, 3828 AA Hoogland",,,
BIN_Bedrijf,BG,Basix4Living Amersfoort,Privaat bedrijf,AMERSFOORT,"Hamseweg 18, 3828 AD Hoogland",,,
BIN_Bedrijf,BG,Kok Wooncenter,Privaat bedrijf,AMERSFOORT,"Hamseweg 18, 3828 AD Hoogland/Amersfoort",,,
BIN_Bedrijf,BG,Office extensions ,Privaat bedrijf,AMERSFOORT,"Hamseweg 22, 3828 AD Hoogland",,,
BIN_Bedrijf,BG,Biketotaal Hoogland,Privaat bedrijf,AMERSFOORT,"Hamseweg 15, 3828 AA Hoogland",,,
BIN_Bedrijf,BG,Boni Supermarket,Privaat bedrijf,AMERSFOORT,"53, Hamseweg 51, 3828 AB Hoogland",,,
BIN_Bedrijf,BG,Primera bundel,Privaat bedrijf,AMERSFOORT,"Hamseweg 46, 3828 AE Hoogland",,,
BIN_Bedrijf,BG,Albert Heijn,Privaat bedrijf,AMERSFOORT,"Kraailandhof 106, 3828 JM Hoogland",,,
BIN_Bedrijf,BG,Apotheek Hoogland,Privaat bedrijf,AMERSFOORT,"Kraailandhof 20, 3828 JM Hoogland",,,
BIN_Bedrijf,BG,Basisschool de Biezen,School,AMERSFOORT,"Kraailand 1, 3828 Hoogland",,,
BIN_Bedrijf,BG,Obs de bieshaar,School,AMERSFOORT,"Kraailandhof 3, Hoogland, 3828 JN Amersfoort",,,
BIN_Bedrijf,BG,Bruna Hoogland,Privaat bedrijf,AMERSFOORT,"Kraailandhof 15, 3828 JN Hoogland",,,
BIN_Bedrijf,BG,Gall & Gall Hoogland,Privaat bedrijf,AMERSFOORT,"Kraailandhof 19, 3828 JN Hoogland",,,
BIN_Bedrijf,BG,Autobedrijf Piet Smink,Privaat bedrijf,AMERSFOORT,"Zevenhuizerstraat 93, 3828 PS Hoogland",,,
BIN_Bedrijf,BG,Blom Hoogland,Privaat bedrijf,AMERSFOORT,"Zevenhuizerstraat 101, 3828 PS Hoogland",,,
BIN_Bedrijf,BG,Berkenschool,School,AMERSFOORT,"Berkenlaan 29-31, 3828 Hoogland",,,
BIN_Bedrijf,BG,de Langenoord school,School,AMERSFOORT,"Kerklaan 7, 3828 Hoogland",,,
